datetime
"Monday, November 29, 2021 at 8:00:00 AM"
"Monday, November 29, 2021 at 2:00:00 PM"
"Monday, November 29, 2021 at 10:00:00 PM"
"Tuesday, November 30, 2021 at 8:00:00 AM"
"Tuesday, November 30, 2021 at 2:00:00 PM"
"Tuesday, November 30, 2021 at 10:00:00 PM"
"Wednesday, December 1, 2021 at 8:00:00 AM"
"Wednesday, December 1, 2021 at 2:00:00 PM"
"Wednesday, December 1, 2021 at 10:00:00 PM"
"Thursday, December 2, 2021 at 8:00:00 AM"
"Thursday, December 2, 2021 at 2:00:00 PM"
"Thursday, December 2, 2021 at 10:00:00 PM"
"Monday, December 6, 2021 at 8:00:00 AM"
"Monday, December 6, 2021 at 2:00:00 PM"
"Monday, December 6, 2021 at 10:00:00 PM"
"Tuesday, December 7, 2021 at 8:00:00 AM"
"Tuesday, December 7, 2021 at 2:00:00 PM"
"Tuesday, December 7, 2021 at 10:00:00 PM"
"Wednesday, December 8, 2021 at 8:00:00 AM"
"Wednesday, December 8, 2021 at 2:00:00 PM"
"Wednesday, December 8, 2021 at 10:00:00 PM"
"Thursday, December 9, 2021 at 8:00:00 AM"
"Thursday, December 9, 2021 at 2:00:00 PM"
"Thursday, December 9, 2021 at 10:00:00 PM"
"Monday, December 13, 2021 at 8:00:00 AM"
"Monday, December 13, 2021 at 2:00:00 PM"
"Monday, December 13, 2021 at 10:00:00 PM"
"Tuesday, December 14, 2021 at 8:00:00 AM"
"Tuesday, December 14, 2021 at 2:00:00 PM"
"Tuesday, December 14, 2021 at 10:00:00 PM"
"Wednesday, December 15, 2021 at 8:00:00 AM"
"Wednesday, December 15, 2021 at 2:00:00 PM"
"Wednesday, December 15, 2021 at 10:00:00 PM"
"Thursday, December 16, 2021 at 8:00:00 AM"
"Thursday, December 16, 2021 at 2:00:00 PM"
"Thursday, December 16, 2021 at 10:00:00 PM"
